,Config,Filename,Model,Name,Species,Citations
0,"['pair_style eam\n', 'pair_coeff 1 1 Cu_smf7.eam\n', 'pair_coeff 2 2 Ni_smf7.eam\n']","['potential_LAMMPS/1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1/Cu_smf7.eam', 'potential_LAMMPS/1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1/Ni_smf7.eam']",NISTiprpy,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,"['Cu', 'Ni']","[{'Foiles_1985': {'title': 'Calculation of the surface segregation of Ni-Cu alloys with the use of the embedded-atom method', 'journal': 'Physical Review B', 'volume': '32', 'pages': '7685--7693', 'number': '12', 'doi': '10.1103/physrevb.32.7685', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.32.7685', 'year': '1985', 'author': ['S. M. Foiles']}}]"
1,"['pair_style sw\n', 'pair_coeff * * Si.sw Si\n']",['potential_LAMMPS/1985--Stillinger-F-H--Si--LAMMPS--ipr1/Si.sw'],NISTiprpy,1985--Stillinger-F-H--Si--LAMMPS--ipr1,['Si'],"[{'Stillinger_1985': {'title': 'Computer simulation of local order in condensed phases of silicon', 'journal': 'Physical Review B', 'volume': '31', 'pages': '5262--5271', 'number': '8', 'doi': '10.1103/physrevb.31.5262', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.31.5262', 'year': '1985', 'author': ['Frank H. Stillinger', 'Thomas A. Weber']}}, {'Stillinger_1986': {'title': 'Erratum: Computer simulation of local order in condensed phases of silicon [Phys. Rev. B 31, 5262 (1985)]', 'journal': 'Physical Review B', 'volume': '33', 'pages': '1451--1451', 'number': '2', 'doi': '10.1103/physrevb.33.1451', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.33.1451', 'year': '1986', 'author': ['Frank H. Stillinger', 'Thomas A. Weber']}}]"
2,"['pair_style eam\n', 'pair_coeff 1 1 Ag_u3.eam\n']",['potential_LAMMPS/1986--Foiles-S-M--Ag--LAMMPS--ipr1/Ag_u3.eam'],NISTiprpy,1986--Foiles-S-M--Ag--LAMMPS--ipr1,['Ag'],"[{'Foiles_1986': {'title': 'Embedded-atom-method functions for the fcc metals Cu, Ag, Au, Ni, Pd, Pt, and their alloys', 'journal': 'Physical Review B', 'volume': '33', 'pages': '7983--7991', 'number': '12', 'doi': '10.1103/physrevb.33.7983', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.33.7983', 'year': '1986', 'author': ['S. M. Foiles', 'M. I. Baskes', 'M. S. Daw']}}]"
3,"['pair_style eam\n', 'pair_coeff 1 1 Ag_u3.eam\n', 'pair_coeff 2 2 Au_u3.eam\n', 'pair_coeff 3 3 Cu_u3.eam\n', 'pair_coeff 4 4 Ni_u3.eam\n', 'pair_coeff 5 5 Pd_u3.eam\n', 'pair_coeff 6 6 Pt_u3.eam\n']","['potential_LAMMPS/1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1/Ag_u3.eam', 'potential_LAMMPS/1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1/Au_u3.eam', 'potential_LAMMPS/1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1/Cu_u3.eam', 'potential_LAMMPS/1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1/Ni_u3.eam', 'potential_LAMMPS/1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1/Pd_u3.eam', 'potential_LAMMPS/1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1/Pt_u3.eam']",NISTiprpy,1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,"['Ag', 'Au', 'Cu', 'Ni', 'Pd', 'Pt']","[{'Foiles_1986': {'title': 'Embedded-atom-method functions for the fcc metals Cu, Ag, Au, Ni, Pd, Pt, and their alloys', 'journal': 'Physical Review B', 'volume': '33', 'pages': '7983--7991', 'number': '12', 'doi': '10.1103/physrevb.33.7983', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.33.7983', 'year': '1986', 'author': ['S. M. Foiles', 'M. I. Baskes', 'M. S. Daw']}}]"
4,"['pair_style eam\n', 'pair_coeff 1 1 Au_u3.eam\n']",['potential_LAMMPS/1986--Foiles-S-M--Au--LAMMPS--ipr1/Au_u3.eam'],NISTiprpy,1986--Foiles-S-M--Au--LAMMPS--ipr1,['Au'],"[{'Foiles_1986': {'title': 'Embedded-atom-method functions for the fcc metals Cu, Ag, Au, Ni, Pd, Pt, and their alloys', 'journal': 'Physical Review B', 'volume': '33', 'pages': '7983--7991', 'number': '12', 'doi': '10.1103/physrevb.33.7983', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.33.7983', 'year': '1986', 'author': ['S. M. Foiles', 'M. I. Baskes', 'M. S. Daw']}}]"
5,"['pair_style eam\n', 'pair_coeff 1 1 Cu_u3.eam\n']",['potential_LAMMPS/1986--Foiles-S-M--Cu--LAMMPS--ipr1/Cu_u3.eam'],NISTiprpy,1986--Foiles-S-M--Cu--LAMMPS--ipr1,['Cu'],"[{'Foiles_1986': {'title': 'Embedded-atom-method functions for the fcc metals Cu, Ag, Au, Ni, Pd, Pt, and their alloys', 'journal': 'Physical Review B', 'volume': '33', 'pages': '7983--7991', 'number': '12', 'doi': '10.1103/physrevb.33.7983', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.33.7983', 'year': '1986', 'author': ['S. M. Foiles', 'M. I. Baskes', 'M. S. Daw']}}]"
6,"['pair_style eam\n', 'pair_coeff 1 1 Ni_u3.eam\n']",['potential_LAMMPS/1986--Foiles-S-M--Ni--LAMMPS--ipr1/Ni_u3.eam'],NISTiprpy,1986--Foiles-S-M--Ni--LAMMPS--ipr1,['Ni'],"[{'Foiles_1986': {'title': 'Embedded-atom-method functions for the fcc metals Cu, Ag, Au, Ni, Pd, Pt, and their alloys', 'journal': 'Physical Review B', 'volume': '33', 'pages': '7983--7991', 'number': '12', 'doi': '10.1103/physrevb.33.7983', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.33.7983', 'year': '1986', 'author': ['S. M. Foiles', 'M. I. Baskes', 'M. S. Daw']}}]"
7,"['pair_style eam\n', 'pair_coeff 1 1 Pd_u3.eam\n']",['potential_LAMMPS/1986--Foiles-S-M--Pd--LAMMPS--ipr1/Pd_u3.eam'],NISTiprpy,1986--Foiles-S-M--Pd--LAMMPS--ipr1,['Pd'],"[{'Foiles_1986': {'title': 'Embedded-atom-method functions for the fcc metals Cu, Ag, Au, Ni, Pd, Pt, and their alloys', 'journal': 'Physical Review B', 'volume': '33', 'pages': '7983--7991', 'number': '12', 'doi': '10.1103/physrevb.33.7983', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.33.7983', 'year': '1986', 'author': ['S. M. Foiles', 'M. I. Baskes', 'M. S. Daw']}}]"
8,"['pair_style eam\n', 'pair_coeff 1 1 Pt_u3.eam\n']",['potential_LAMMPS/1986--Foiles-S-M--Pt--LAMMPS--ipr1/Pt_u3.eam'],NISTiprpy,1986--Foiles-S-M--Pt--LAMMPS--ipr1,['Pt'],"[{'Foiles_1986': {'title': 'Embedded-atom-method functions for the fcc metals Cu, Ag, Au, Ni, Pd, Pt, and their alloys', 'journal': 'Physical Review B', 'volume': '33', 'pages': '7983--7991', 'number': '12', 'doi': '10.1103/physrevb.33.7983', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.33.7983', 'year': '1986', 'author': ['S. M. Foiles', 'M. I. Baskes', 'M. S. Daw']}}]"
9,"['pair_style eam/fs\n', 'pair_coeff * * Ag.eam.fs Ag\n']",['potential_LAMMPS/1987--Ackland-G-J--Ag--LAMMPS--ipr1/Ag.eam.fs'],NISTiprpy,1987--Ackland-G-J--Ag--LAMMPS--ipr1,['Ag'],"[{'Ackland_1987': {'title': 'Simple N-body potentials for the noble metals and nickel', 'journal': 'Philosophical Magazine A', 'volume': '56', 'pages': '735--756', 'number': '6', 'doi': '10.1080/01418618708204485', 'publisher': 'Informa UK Limited', 'url': 'https://doi.org/10.1080%2F01418618708204485', 'year': '1987', 'author': ['G. J. Ackland', 'G. Tichy', 'V. Vitek', 'M. W. Finnis']}}]"
10,"['pair_style eam/fs\n', 'pair_coeff * * Ag_v2.eam.fs Ag\n']",['potential_LAMMPS/1987--Ackland-G-J--Ag--LAMMPS--ipr2/Ag_v2.eam.fs'],NISTiprpy,1987--Ackland-G-J--Ag--LAMMPS--ipr2,['Ag'],"[{'Ackland_1987': {'title': 'Simple N-body potentials for the noble metals and nickel', 'journal': 'Philosophical Magazine A', 'volume': '56', 'pages': '735--756', 'number': '6', 'doi': '10.1080/01418618708204485', 'publisher': 'Informa UK Limited', 'url': 'https://doi.org/10.1080%2F01418618708204485', 'year': '1987', 'author': ['G. J. Ackland', 'G. Tichy', 'V. Vitek', 'M. W. Finnis']}}]"
11,"['pair_style eam/fs\n', 'pair_coeff * * Au.eam.fs Au\n']",['potential_LAMMPS/1987--Ackland-G-J--Au--LAMMPS--ipr1/Au.eam.fs'],NISTiprpy,1987--Ackland-G-J--Au--LAMMPS--ipr1,['Au'],"[{'Ackland_1987': {'title': 'Simple N-body potentials for the noble metals and nickel', 'journal': 'Philosophical Magazine A', 'volume': '56', 'pages': '735--756', 'number': '6', 'doi': '10.1080/01418618708204485', 'publisher': 'Informa UK Limited', 'url': 'https://doi.org/10.1080%2F01418618708204485', 'year': '1987', 'author': ['G. J. Ackland', 'G. Tichy', 'V. Vitek', 'M. W. Finnis']}}]"
12,"['pair_style eam/fs\n', 'pair_coeff * * Au_v2.eam.fs Au\n']",['potential_LAMMPS/1987--Ackland-G-J--Au--LAMMPS--ipr2/Au_v2.eam.fs'],NISTiprpy,1987--Ackland-G-J--Au--LAMMPS--ipr2,['Au'],"[{'Ackland_1987': {'title': 'Simple N-body potentials for the noble metals and nickel', 'journal': 'Philosophical Magazine A', 'volume': '56', 'pages': '735--756', 'number': '6', 'doi': '10.1080/01418618708204485', 'publisher': 'Informa UK Limited', 'url': 'https://doi.org/10.1080%2F01418618708204485', 'year': '1987', 'author': ['G. J. Ackland', 'G. Tichy', 'V. Vitek', 'M. W. Finnis']}}]"
13,"['pair_style eam/fs\n', 'pair_coeff * * Cu.eam.fs Cu\n']",['potential_LAMMPS/1987--Ackland-G-J--Cu--LAMMPS--ipr1/Cu.eam.fs'],NISTiprpy,1987--Ackland-G-J--Cu--LAMMPS--ipr1,['Cu'],"[{'Ackland_1987': {'title': 'Simple N-body potentials for the noble metals and nickel', 'journal': 'Philosophical Magazine A', 'volume': '56', 'pages': '735--756', 'number': '6', 'doi': '10.1080/01418618708204485', 'publisher': 'Informa UK Limited', 'url': 'https://doi.org/10.1080%2F01418618708204485', 'year': '1987', 'author': ['G. J. Ackland', 'G. Tichy', 'V. Vitek', 'M. W. Finnis']}}]"
14,"['pair_style eam/fs\n', 'pair_coeff * * Cu1_v2.eam.fs Cu\n']",['potential_LAMMPS/1987--Ackland-G-J--Cu--LAMMPS--ipr2/Cu1_v2.eam.fs'],NISTiprpy,1987--Ackland-G-J--Cu--LAMMPS--ipr2,['Cu'],"[{'Ackland_1987': {'title': 'Simple N-body potentials for the noble metals and nickel', 'journal': 'Philosophical Magazine A', 'volume': '56', 'pages': '735--756', 'number': '6', 'doi': '10.1080/01418618708204485', 'publisher': 'Informa UK Limited', 'url': 'https://doi.org/10.1080%2F01418618708204485', 'year': '1987', 'author': ['G. J. Ackland', 'G. Tichy', 'V. Vitek', 'M. W. Finnis']}}]"
15,"['pair_style eam/alloy\n', 'pair_coeff * * mo.fs.eam.alloy Mo\n']",['potential_LAMMPS/1987--Ackland-G-J--Mo--LAMMPS--ipr3/mo.fs.eam.alloy'],NISTiprpy,1987--Ackland-G-J--Mo--LAMMPS--ipr3,['Mo'],"[{'Ackland_1987': {'title': 'An improved N-body semi-empirical model for body-centred cubic transition metals', 'journal': 'Philosophical Magazine A', 'volume': '56', 'pages': '15--30', 'number': '1', 'doi': '10.1080/01418618708204464', 'publisher': 'Informa UK Limited', 'url': 'https://doi.org/10.1080%2F01418618708204464', 'year': '1987', 'author': ['G. J. Ackland', 'R. Thetford']}}]"
16,"['pair_style eam/fs\n', 'pair_coeff * * Ni.eam.fs Ni\n']",['potential_LAMMPS/1987--Ackland-G-J--Ni--LAMMPS--ipr1/Ni.eam.fs'],NISTiprpy,1987--Ackland-G-J--Ni--LAMMPS--ipr1,['Ni'],"[{'Ackland_1987': {'title': 'Simple N-body potentials for the noble metals and nickel', 'journal': 'Philosophical Magazine A', 'volume': '56', 'pages': '735--756', 'number': '6', 'doi': '10.1080/01418618708204485', 'publisher': 'Informa UK Limited', 'url': 'https://doi.org/10.1080%2F01418618708204485', 'year': '1987', 'author': ['G. J. Ackland', 'G. Tichy', 'V. Vitek', 'M. W. Finnis']}}]"
17,"['pair_style eam/fs\n', 'pair_coeff * * Ni_v2.eam.fs Ni\n']",['potential_LAMMPS/1987--Ackland-G-J--Ni--LAMMPS--ipr2/Ni_v2.eam.fs'],NISTiprpy,1987--Ackland-G-J--Ni--LAMMPS--ipr2,['Ni'],"[{'Ackland_1987': {'title': 'Simple N-body potentials for the noble metals and nickel', 'journal': 'Philosophical Magazine A', 'volume': '56', 'pages': '735--756', 'number': '6', 'doi': '10.1080/01418618708204485', 'publisher': 'Informa UK Limited', 'url': 'https://doi.org/10.1080%2F01418618708204485', 'year': '1987', 'author': ['G. J. Ackland', 'G. Tichy', 'V. Vitek', 'M. W. Finnis']}}]"
18,"['pair_style tersoff\n', 'pair_coeff * * 1988_Si(B).tersoff Si\n']",['potential_LAMMPS/1988--Tersoff-J--Si-b--LAMMPS--ipr1/1988_Si(B).tersoff'],NISTiprpy,1988--Tersoff-J--Si-b--LAMMPS--ipr1,['Si'],"[{'Tersoff_1988': {'title': 'New empirical approach for the structure and energy of covalent systems', 'journal': 'Physical Review B', 'volume': '37', 'pages': '6991--7000', 'number': '12', 'doi': '10.1103/physrevb.37.6991', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.37.6991', 'year': '1988', 'author': ['J. Tersoff']}}]"
19,"['pair_style tersoff\n', 'pair_coeff * * 1988_Si(C).tersoff Si\n']",['potential_LAMMPS/1988--Tersoff-J--Si-c--LAMMPS--ipr1/1988_Si(C).tersoff'],NISTiprpy,1988--Tersoff-J--Si-c--LAMMPS--ipr1,['Si'],"[{'Tersoff_1988': {'title': 'Empirical interatomic potential for silicon with improved elastic properties', 'journal': 'Physical Review B', 'volume': '38', 'pages': '9902--9905', 'number': '14', 'doi': '10.1103/physrevb.38.9902', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.38.9902', 'year': '1988', 'author': ['J. Tersoff']}}]"
20,"['pair_style eam\n', 'pair_coeff 1 1 agu6.txt\n']",['potential_LAMMPS/1989--Adams-J-B--Ag--LAMMPS--ipr1/agu6.txt'],NISTiprpy,1989--Adams-J-B--Ag--LAMMPS--ipr1,['Ag'],"[{'Adams_1989': {'title': 'Self-diffusion and impurity diffusion of fcc metals using the five-frequency model and the Embedded Atom Method', 'journal': 'Journal of Materials Research', 'volume': '4', 'pages': '102--112', 'number': '1', 'doi': '10.1557/jmr.1989.0102', 'publisher': 'Cambridge University Press (CUP)', 'year': '1989', 'author': ['J. B. Adams', 'S. M. Foiles', 'W. G. Wolfer']}}]"
21,"['pair_style eam\n', 'pair_coeff 1 1 agu6.txt\n', 'pair_coeff 2 2 auu6.txt\n', 'pair_coeff 3 3 cuu6.txt\n', 'pair_coeff 4 4 niu6.txt\n', 'pair_coeff 5 5 pdu6.txt\n', 'pair_coeff 6 6 ptu6.txt\n']","['potential_LAMMPS/1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1/agu6.txt', 'potential_LAMMPS/1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1/auu6.txt', 'potential_LAMMPS/1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1/cuu6.txt', 'potential_LAMMPS/1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1/niu6.txt', 'potential_LAMMPS/1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1/pdu6.txt', 'potential_LAMMPS/1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1/ptu6.txt']",NISTiprpy,1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,"['Ag', 'Au', 'Cu', 'Ni', 'Pd', 'Pt']","[{'Adams_1989': {'title': 'Self-diffusion and impurity diffusion of fcc metals using the five-frequency model and the Embedded Atom Method', 'journal': 'Journal of Materials Research', 'volume': '4', 'pages': '102--112', 'number': '1', 'doi': '10.1557/jmr.1989.0102', 'publisher': 'Cambridge University Press (CUP)', 'year': '1989', 'author': ['J. B. Adams', 'S. M. Foiles', 'W. G. Wolfer']}}]"
22,"['pair_style eam\n', 'pair_coeff 1 1 auu6.txt\n']",['potential_LAMMPS/1989--Adams-J-B--Au--LAMMPS--ipr1/auu6.txt'],NISTiprpy,1989--Adams-J-B--Au--LAMMPS--ipr1,['Au'],"[{'Adams_1989': {'title': 'Self-diffusion and impurity diffusion of fcc metals using the five-frequency model and the Embedded Atom Method', 'journal': 'Journal of Materials Research', 'volume': '4', 'pages': '102--112', 'number': '1', 'doi': '10.1557/jmr.1989.0102', 'publisher': 'Cambridge University Press (CUP)', 'year': '1989', 'author': ['J. B. Adams', 'S. M. Foiles', 'W. G. Wolfer']}}]"
23,"['pair_style eam\n', 'pair_coeff 1 1 cuu6.txt\n']",['potential_LAMMPS/1989--Adams-J-B--Cu--LAMMPS--ipr1/cuu6.txt'],NISTiprpy,1989--Adams-J-B--Cu--LAMMPS--ipr1,['Cu'],"[{'Adams_1989': {'title': 'Self-diffusion and impurity diffusion of fcc metals using the five-frequency model and the Embedded Atom Method', 'journal': 'Journal of Materials Research', 'volume': '4', 'pages': '102--112', 'number': '1', 'doi': '10.1557/jmr.1989.0102', 'publisher': 'Cambridge University Press (CUP)', 'year': '1989', 'author': ['J. B. Adams', 'S. M. Foiles', 'W. G. Wolfer']}}]"
24,"['pair_style eam\n', 'pair_coeff 1 1 niu6.txt\n']",['potential_LAMMPS/1989--Adams-J-B--Ni--LAMMPS--ipr1/niu6.txt'],NISTiprpy,1989--Adams-J-B--Ni--LAMMPS--ipr1,['Ni'],"[{'Adams_1989': {'title': 'Self-diffusion and impurity diffusion of fcc metals using the five-frequency model and the Embedded Atom Method', 'journal': 'Journal of Materials Research', 'volume': '4', 'pages': '102--112', 'number': '1', 'doi': '10.1557/jmr.1989.0102', 'publisher': 'Cambridge University Press (CUP)', 'year': '1989', 'author': ['J. B. Adams', 'S. M. Foiles', 'W. G. Wolfer']}}]"
25,"['pair_style eam\n', 'pair_coeff 1 1 pdu6.txt\n']",['potential_LAMMPS/1989--Adams-J-B--Pd--LAMMPS--ipr1/pdu6.txt'],NISTiprpy,1989--Adams-J-B--Pd--LAMMPS--ipr1,['Pd'],"[{'Adams_1989': {'title': 'Self-diffusion and impurity diffusion of fcc metals using the five-frequency model and the Embedded Atom Method', 'journal': 'Journal of Materials Research', 'volume': '4', 'pages': '102--112', 'number': '1', 'doi': '10.1557/jmr.1989.0102', 'publisher': 'Cambridge University Press (CUP)', 'year': '1989', 'author': ['J. B. Adams', 'S. M. Foiles', 'W. G. Wolfer']}}]"
26,"['pair_style eam\n', 'pair_coeff 1 1 ptu6.txt\n']",['potential_LAMMPS/1989--Adams-J-B--Pt--LAMMPS--ipr1/ptu6.txt'],NISTiprpy,1989--Adams-J-B--Pt--LAMMPS--ipr1,['Pt'],"[{'Adams_1989': {'title': 'Self-diffusion and impurity diffusion of fcc metals using the five-frequency model and the Embedded Atom Method', 'journal': 'Journal of Materials Research', 'volume': '4', 'pages': '102--112', 'number': '1', 'doi': '10.1557/jmr.1989.0102', 'publisher': 'Cambridge University Press (CUP)', 'year': '1989', 'author': ['J. B. Adams', 'S. M. Foiles', 'W. G. Wolfer']}}]"
27,"['pair_style tersoff\n', 'pair_coeff * * 1989_SiC.tersoff Si C\n']",['potential_LAMMPS/1989--Tersoff-J--Si-C--LAMMPS--ipr1/1989_SiC.tersoff'],NISTiprpy,1989--Tersoff-J--Si-C--LAMMPS--ipr1,"['Si', 'C']","[{'Tersoff_1989': {'title': 'Modeling solid-state chemistry: Interatomic potentials for multicomponent systems', 'journal': 'Physical Review B', 'volume': '39', 'pages': '5566--5568', 'number': '8', 'doi': '10.1103/physrevb.39.5566', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.39.5566', 'year': '1989', 'author': ['J. Tersoff']}}, {'Tersoff_1990': {'title': 'Erratum: Modeling solid-state chemistry: Interatomic potentials for multicomponent systems', 'journal': 'Physical Review B', 'volume': '41', 'pages': '3248--3248', 'number': '5', 'doi': '10.1103/physrevb.41.3248.2', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.41.3248.2', 'year': '1990', 'author': ['J. Tersoff']}}]"
28,"['pair_style tersoff\n', 'pair_coeff * * 1989_SiGe.tersoff Si Ge\n']",['potential_LAMMPS/1989--Tersoff-J--Si-Ge--LAMMPS--ipr1/1989_SiGe.tersoff'],NISTiprpy,1989--Tersoff-J--Si-Ge--LAMMPS--ipr1,"['Si', 'Ge']","[{'Tersoff_1989': {'title': 'Modeling solid-state chemistry: Interatomic potentials for multicomponent systems', 'journal': 'Physical Review B', 'volume': '39', 'pages': '5566--5568', 'number': '8', 'doi': '10.1103/physrevb.39.5566', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.39.5566', 'year': '1989', 'author': ['J. Tersoff']}}, {'Tersoff_1990': {'title': 'Erratum: Modeling solid-state chemistry: Interatomic potentials for multicomponent systems', 'journal': 'Physical Review B', 'volume': '41', 'pages': '3248--3248', 'number': '5', 'doi': '10.1103/physrevb.41.3248.2', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.41.3248.2', 'year': '1990', 'author': ['J. Tersoff']}}]"
29,"['pair_style sw\n', 'pair_coeff * * CdTe.sw Cd Te\n']",['potential_LAMMPS/1989--Wang-Z-Q--Cd-Te--LAMMPS--ipr1/CdTe.sw'],NISTiprpy,1989--Wang-Z-Q--Cd-Te--LAMMPS--ipr1,"['Cd', 'Te']","[{'Wang_1989': {'title': 'Monte Carlo study of the liquid CdTe surface', 'journal': 'Physical Review B', 'volume': '40', 'pages': '3129--3132', 'number': '5', 'doi': '10.1103/physrevb.40.3129', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.40.3129', 'year': '1989', 'author': ['Z. Q. Wang', 'D. Stroud', 'A. J. Markworth']}}]"
30,"['pair_style eam/fs\n', 'pair_coeff * * Cu2.eam.fs Cu\n']",['potential_LAMMPS/1990--Ackland-G-J--Cu--LAMMPS--ipr2/Cu2.eam.fs'],NISTiprpy,1990--Ackland-G-J--Cu--LAMMPS--ipr2,['Cu'],"[{'Ackland_1990': {'title': 'Many-body potentials and atomic-scale relaxations in noble-metal alloys', 'journal': 'Physical Review B', 'volume': '41', 'pages': '10324--10333', 'number': '15', 'doi': '10.1103/physrevb.41.10324', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.41.10324', 'year': '1990', 'author': ['G. J. Ackland', 'V. Vitek']}}]"
31,"['pair_style eam/fs\n', 'pair_coeff * * CuAgAu.eam.fs Cu Ag Au\n']",['potential_LAMMPS/1990--Ackland-G-J--Cu-Ag-Au--LAMMPS--ipr1/CuAgAu.eam.fs'],NISTiprpy,1990--Ackland-G-J--Cu-Ag-Au--LAMMPS--ipr1,"['Cu', 'Ag', 'Au']","[{'Ackland_1990': {'title': 'Many-body potentials and atomic-scale relaxations in noble-metal alloys', 'journal': 'Physical Review B', 'volume': '41', 'pages': '10324--10333', 'number': '15', 'doi': '10.1103/physrevb.41.10324', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.41.10324', 'year': '1990', 'author': ['G. J. Ackland', 'V. Vitek']}}]"
32,"['pair_style tersoff\n', 'pair_coeff * * 1990_SiC.tersoff Si C\n']",['potential_LAMMPS/1990--Tersoff-J--Si-C--LAMMPS--ipr1/1990_SiC.tersoff'],NISTiprpy,1990--Tersoff-J--Si-C--LAMMPS--ipr1,"['Si', 'C']","[{'Tersoff_1990': {'title': 'Carbon defects and defect reactions in silicon', 'journal': 'Physical Review Letters', 'volume': '64', 'pages': '1757--1760', 'number': '15', 'doi': '10.1103/physrevlett.64.1757', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevlett.64.1757', 'year': '1990', 'author': ['J. Tersoff']}}]"
33,"['pair_style vashishta\n', 'pair_coeff * * SiO.1990.vashishta Si O\n']",['potential_LAMMPS/1990--Vashishta-P--Si-O--LAMMPS--ipr1/SiO.1990.vashishta'],NISTiprpy,1990--Vashishta-P--Si-O--LAMMPS--ipr1,"['Si', 'O']","[{'Vashishta_1990': {'title': 'Interaction potential for SiO<sub>2</sub>: A molecular-dynamics study of structural correlations', 'journal': 'Physical Review B', 'volume': '41', 'pages': '12197--12209', 'number': '17', 'doi': '10.1103/physrevb.41.12197', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.41.12197', 'year': '1990', 'author': ['P. Vashishta', 'Rajiv K. Kalia', 'José P. Rino', 'Ingvar Ebbsjö']}}]"
34,"['pair_style eam/fs\n', 'pair_coeff * * Ti.eam.fs Ti\n']",['potential_LAMMPS/1992--Ackland-G-J--Ti--LAMMPS--ipr1/Ti.eam.fs'],NISTiprpy,1992--Ackland-G-J--Ti--LAMMPS--ipr1,['Ti'],"[{'Ackland_1992': {'title': 'Theoretical study of titanium surfaces and defects with a new many-body potential', 'journal': 'Philosophical Magazine A', 'volume': '66', 'pages': '917--932', 'number': '6', 'doi': '10.1080/01418619208247999', 'publisher': 'Informa UK Limited', 'url': 'https://doi.org/10.1080%2F01418619208247999', 'year': '1992', 'author': ['Graeme J. Ackland']}}]"
35,"['pair_style eam/fs\n', 'pair_coeff * * Ti_v2.eam.fs Ti\n']",['potential_LAMMPS/1992--Ackland-G-J--Ti--LAMMPS--ipr2/Ti_v2.eam.fs'],NISTiprpy,1992--Ackland-G-J--Ti--LAMMPS--ipr2,['Ti'],"[{'Ackland_1992': {'title': 'Theoretical study of titanium surfaces and defects with a new many-body potential', 'journal': 'Philosophical Magazine A', 'volume': '66', 'pages': '917--932', 'number': '6', 'doi': '10.1080/01418619208247999', 'publisher': 'Informa UK Limited', 'url': 'https://doi.org/10.1080%2F01418619208247999', 'year': '1992', 'author': ['Graeme J. Ackland']}}]"
