,Config,Filename,Model,Name,Species,Citations
239,"['pair_style eam/alloy\n', 'pair_coeff * * U_Mo_Xe.2013.eam.alloy U Mo Xe\n']",['potential_LAMMPS/2013--Smirnova-D-E--U-Mo-Xe--LAMMPS--ipr2/U_Mo_Xe.2013.eam.alloy'],NISTiprpy,2013--Smirnova-D-E--U-Mo-Xe--LAMMPS--ipr2,"['U', 'Mo', 'Xe']","[{'Smirnova_2013': {'title': 'A ternary EAM interatomic potential for U-Mo alloys with xenon', 'journal': 'Modelling and Simulation in Materials Science and Engineering', 'volume': '21', 'pages': '035011', 'number': '3', 'doi': '10.1088/0965-0393/21/3/035011', 'publisher': 'IOP Publishing', 'url': 'https://doi.org/10.1088%2F0965-0393%2F21%2F3%2F035011', 'year': '2013', 'author': ['D E Smirnova', 'A Yu Kuksin', 'S V Starikov', 'V V Stegailov', 'Z Insepov', 'J Rest', 'A M Yacout']}}]"
240,"['pair_style bop\n', 'pair_coeff * * CdZnTe_v2.bop.table Cd Te Zn\n', 'comm_modify cutoff 14.7\n']",['potential_LAMMPS/2013--Ward-D-K--Cd-Te-Zn--LAMMPS--ipr1/CdZnTe_v2.bop.table'],NISTiprpy,2013--Ward-D-K--Cd-Te-Zn--LAMMPS--ipr1,"['Cd', 'Te', 'Zn']","[{'Ward_2013': {'title': 'A refined parameterization of the analytical Cd-Zn-Te bond-order potential', 'journal': 'Journal of Molecular Modeling', 'volume': '19', 'pages': '5469--5477', 'number': '12', 'doi': '10.1007/s00894-013-2004-8', 'publisher': 'Springer Nature', 'url': 'https://doi.org/10.1007%2Fs00894-013-2004-8', 'year': '2013', 'author': ['Donald K. Ward', 'Xiaowang Zhou', 'Bryan M. Wong', 'F. P. Doty']}}]"
241,"['pair_style sw\n', 'pair_coeff * * CdTeZnSeHgS0.sw Zn Cd Hg S Se Te\n']",['potential_LAMMPS/2013--Zhou-X-W--Zn-Cd-Hg-S-Se-Te--LAMMPS--ipr1/CdTeZnSeHgS0.sw'],NISTiprpy,2013--Zhou-X-W--Zn-Cd-Hg-S-Se-Te--LAMMPS--ipr1,"['Zn', 'Cd', 'Hg', 'S', 'Se', 'Te']","[{'Zhou_2013': {'title': 'Stillinger-Weber potential for the II-VI elements Zn-Cd-Hg-S-Se-Te', 'journal': 'Physical Review B', 'volume': '88', 'pages': '085309', 'number': '8', 'doi': '10.1103/physrevb.88.085309', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.88.085309', 'year': '2013', 'author': ['X. W. Zhou', 'D. K. Ward', 'J. E. Martin', 'F. B. van Swol', 'J. L. Cruz-Campa', 'D. Zubia']}}]"
242,"['pair_style eam/alloy\n', 'pair_coeff * * potential-WHHe-EAM1.eam.alloy W H He\n']",['potential_LAMMPS/2014--Bonny-G--W-H-He-1--LAMMPS--ipr1/potential-WHHe-EAM1.eam.alloy'],NISTiprpy,2014--Bonny-G--W-H-He-1--LAMMPS--ipr1,"['W', 'H', 'He']","[{'Bonny_2014': {'title': 'On the binding of nanometric hydrogen-helium clusters in tungsten', 'journal': 'Journal of Physics: Condensed Matter', 'volume': '26', 'pages': '485001', 'number': '48', 'doi': '10.1088/0953-8984/26/48/485001', 'publisher': 'IOP Publishing', 'url': 'https://doi.org/10.1088%2F0953-8984%2F26%2F48%2F485001', 'year': '2014', 'author': ['G Bonny', 'P Grigorev', 'D Terentyev']}}]"
243,"['pair_style eam/alloy\n', 'pair_coeff * * potential-WHHe-EAM2.eam.alloy W H He\n']",['potential_LAMMPS/2014--Bonny-G--W-H-He-2--LAMMPS--ipr1/potential-WHHe-EAM2.eam.alloy'],NISTiprpy,2014--Bonny-G--W-H-He-2--LAMMPS--ipr1,"['W', 'H', 'He']","[{'Bonny_2014': {'title': 'On the binding of nanometric hydrogen-helium clusters in tungsten', 'journal': 'Journal of Physics: Condensed Matter', 'volume': '26', 'pages': '485001', 'number': '48', 'doi': '10.1088/0953-8984/26/48/485001', 'publisher': 'IOP Publishing', 'url': 'https://doi.org/10.1088%2F0953-8984%2F26%2F48%2F485001', 'year': '2014', 'author': ['G Bonny', 'P Grigorev', 'D Terentyev']}}]"
244,"['pair_style meam\n', 'pair_coeff * * library-U.meam U U.meam U\n']","['potential_LAMMPS/2014--Fernandez-J-R--U--LAMMPS--ipr1/library-U.meam', 'potential_LAMMPS/2014--Fernandez-J-R--U--LAMMPS--ipr1/U.meam']",NISTiprpy,2014--Fernandez-J-R--U--LAMMPS--ipr1,['U'],"[{'Fern_ndez_2014': {'title': 'On the accurate description of uranium metallic phases: a MEAM interatomic potential approach', 'journal': 'Modelling and Simulation in Materials Science and Engineering', 'volume': '22', 'pages': '055019', 'number': '5', 'doi': '10.1088/0965-0393/22/5/055019', 'publisher': 'IOP Publishing', 'url': 'https://doi.org/10.1088%2F0965-0393%2F22%2F5%2F055019', 'year': '2014', 'author': ['J R Fernández', 'M I Pascuet']}}]"
245,"['pair_style meam\n', 'pair_coeff * * library.meam Si C SiC.meam Si C\n']","['potential_LAMMPS/2014--Kang-K-H--Si-C--LAMMPS--ipr1/library.meam', 'potential_LAMMPS/2014--Kang-K-H--Si-C--LAMMPS--ipr1/SiC.meam']",NISTiprpy,2014--Kang-K-H--Si-C--LAMMPS--ipr1,"['Si', 'C']","[{'Kang_2014': {'title': 'Governing factors for the formation of 4H or 6H-SiC polytype during SiC crystal growth: An atomistic computational approach', 'journal': 'Journal of Crystal Growth', 'volume': '389', 'pages': '120--133', 'doi': '10.1016/j.jcrysgro.2013.12.007', 'publisher': 'Elsevier BV', 'url': 'https://doi.org/10.1016%2Fj.jcrysgro.2013.12.007', 'year': '2014', 'author': ['Kyung-Han Kang', 'Taihee Eun', 'Myong-Chul Jun', 'Byeong-Joo Lee']}}]"
246,"['pair_style meam\n', 'pair_coeff * * library.meam Zr H ZrH.meam Zr H\n']","['potential_LAMMPS/2014--Lee-B-M--Zr-H--LAMMPS--ipr1/library.meam', 'potential_LAMMPS/2014--Lee-B-M--Zr-H--LAMMPS--ipr1/ZrH.meam']",NISTiprpy,2014--Lee-B-M--Zr-H--LAMMPS--ipr1,"['Zr', 'H']","[{'Lee_2014': {'title': 'A Comparative Study on Hydrogen Diffusion in Amorphous and Crystalline Metals Using a Molecular Dynamics Simulation', 'journal': 'Metallurgical and Materials Transactions A', 'volume': '45', 'pages': '2906--2915', 'number': '6', 'doi': '10.1007/s11661-014-2230-4', 'publisher': 'Springer Nature', 'url': 'https://doi.org/10.1007%2Fs11661-014-2230-4', 'year': '2014', 'author': ['Byeong-Moon Lee', 'Byeong-Joo Lee']}}]"
247,"['pair_style meam\n', 'pair_coeff * * library.meam Zr H ZrH.meam Zr H\n']","['potential_LAMMPS/2014--Lee-B-M--Zr-H--LAMMPS--ipr2/library.meam', 'potential_LAMMPS/2014--Lee-B-M--Zr-H--LAMMPS--ipr2/ZrH.meam']",NISTiprpy,2014--Lee-B-M--Zr-H--LAMMPS--ipr2,"['Zr', 'H']","[{'Lee_2014': {'title': 'A Comparative Study on Hydrogen Diffusion in Amorphous and Crystalline Metals Using a Molecular Dynamics Simulation', 'journal': 'Metallurgical and Materials Transactions A', 'volume': '45', 'pages': '2906--2915', 'number': '6', 'doi': '10.1007/s11661-014-2230-4', 'publisher': 'Springer Nature', 'url': 'https://doi.org/10.1007%2Fs11661-014-2230-4', 'year': '2014', 'author': ['Byeong-Moon Lee', 'Byeong-Joo Lee']}}]"
248,"['pair_style meam\n', 'pair_coeff * * Fe3C_library_Liyanage_2014.meam Fe C Fe3C_Liyanage_2014.meam Fe C\n']","['potential_LAMMPS/2014--Liyanage-L-S-I--Fe-C--LAMMPS--ipr2/Fe3C_library_Liyanage_2014.meam', 'potential_LAMMPS/2014--Liyanage-L-S-I--Fe-C--LAMMPS--ipr2/Fe3C_Liyanage_2014.meam']",NISTiprpy,2014--Liyanage-L-S-I--Fe-C--LAMMPS--ipr2,"['Fe', 'C']","[{'Liyanage_2014': {'title': 'Structural, elastic, and thermal properties of cementite (Fe3C) calculated using a modified embedded atom method', 'journal': 'Physical Review B', 'volume': '89', 'pages': '094102', 'number': '9', 'doi': '10.1103/physrevb.89.094102', 'publisher': 'American Physical Society (APS)', 'url': 'https://doi.org/10.1103%2Fphysrevb.89.094102', 'year': '2014', 'author': ['Laalitha S. I. Liyanage', 'Seong-Gon Kim', 'Jeff Houze', 'Sungho Kim', 'Mark A. Tschopp', 'M. I. Baskes', 'M. F. Horstemeyer']}}]"
